id,cve_id,description,published_at,part,last_modified_at,updated_at,cvss_version,cvss_exploitability_score,cvss_impact_score,cvss_vector_string,cvss_attack_vector,cvss_attack_complexity,cvss_privileges_required,cvss_user_interaction,cvss_scope,cvss_confidentiality_impact,cvss_integrity_impact,cvss_availability_impact,cvss_base_score,cvss_base_severity,has_cwe,project,source,release,release_requirements,inherited_from,technical_lag,applicability,cwe_id,kind,name,abstraction,structure,status,summary,background_details,likelihood_of_exploit,detection_methods,consequences,cves,start_to_patched,start_to_published,published_to_patched,patched_date,version_end,exclude_version_end
32099,CVE-2022-23594,"Tensorflow is an Open Source Machine Learning Framework. The TFG dialect of TensorFlow (MLIR) makes several assumptions about the incoming `GraphDef` before converting it to the MLIR-based dialect. If an attacker changes the `SavedModel` format on disk to invalidate these assumptions and the `GraphDef` is then converted to MLIR-based IR then they can cause a crash in the Python interpreter. Under certain scenarios, heap OOB read/writes are possible. These issues have been discovered via fuzzing and it is possible that more weaknesses exist. We will patch them as they are discovered.",2022-02-04 23:15:00,,2022-02-10 18:15:00,2024-03-19 15:08:04.619713,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.1)",CWE-125,weakness,Out-of-bounds Read,Base,Simple,Draft,,,,Automated Static Analysis (DM-14); Fuzzing (DM-13),Bypass Protection Mechanism (C.); Read Memory (C.),"['CVE-2018-21233', 'CVE-2020-15196', 'CVE-2020-15208', 'CVE-2020-15211', 'CVE-2020-15265', 'CVE-2020-26267', 'CVE-2020-26269', 'CVE-2020-26271', 'CVE-2021-29532', 'CVE-2021-29547', 'CVE-2021-29551', 'CVE-2021-29553', 'CVE-2021-29559', 'CVE-2021-29569', 'CVE-2021-29570', 'CVE-2021-29582', 'CVE-2021-29583', 'CVE-2021-29590', 'CVE-2021-29606', 'CVE-2021-29613', 'CVE-2021-37635', 'CVE-2021-37639', 'CVE-2021-37641', 'CVE-2021-37654', 'CVE-2021-37655', 'CVE-2021-37659', 'CVE-2021-37664', 'CVE-2021-37670', 'CVE-2021-37672', 'CVE-2021-37685', 'CVE-2021-37687', 'CVE-2021-41205', 'CVE-2021-41210', 'CVE-2021-41211', 'CVE-2021-41212', 'CVE-2021-41219', 'CVE-2021-41223', 'CVE-2021-41224', 'CVE-2021-41226', 'CVE-2021-41227', 'CVE-2022-21726', 'CVE-2022-21728', 'CVE-2022-21730', 'CVE-2022-23560', 'CVE-2022-23574', 'CVE-2022-23592', 'CVE-2022-23594', 'CVE-2022-35937', 'CVE-2022-35938', 'CVE-2022-41880', 'CVE-2022-41883', 'CVE-2022-41895', 'CVE-2022-41897', 'CVE-2022-41900', 'CVE-2022-41902', 'CVE-2022-41910', 'CVE-2023-25658', 'CVE-2023-25659', 'CVE-2023-25668']",89.0,92,-3.0,2022-02-02 17:03:51,2.7.1,True
32099,CVE-2022-23594,"Tensorflow is an Open Source Machine Learning Framework. The TFG dialect of TensorFlow (MLIR) makes several assumptions about the incoming `GraphDef` before converting it to the MLIR-based dialect. If an attacker changes the `SavedModel` format on disk to invalidate these assumptions and the `GraphDef` is then converted to MLIR-based IR then they can cause a crash in the Python interpreter. Under certain scenarios, heap OOB read/writes are possible. These issues have been discovered via fuzzing and it is possible that more weaknesses exist. We will patch them as they are discovered.",2022-02-04 23:15:00,,2022-02-10 18:15:00,2024-03-19 15:08:04.619713,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.1)",CWE-787,weakness,Out-of-bounds Write,Base,Simple,Draft,,,High,Automated Dynamic Analysis (DM-2); Automated Static Analysis (DM-1),"Modify Memory-DoS: Crash, Exit, or Restart-Execute Unauthorized Code or Commands (I.A.)","['CVE-2020-15195', 'CVE-2020-15200', 'CVE-2020-15201', 'CVE-2020-15205', 'CVE-2020-15207', 'CVE-2020-15208', 'CVE-2020-15210', 'CVE-2020-15211', 'CVE-2020-15212', 'CVE-2020-15214', 'CVE-2021-29512', 'CVE-2021-29514', 'CVE-2021-29520', 'CVE-2021-29535', 'CVE-2021-29536', 'CVE-2021-29537', 'CVE-2021-29540', 'CVE-2021-29542', 'CVE-2021-29558', 'CVE-2021-29560', 'CVE-2021-29566', 'CVE-2021-29571', 'CVE-2021-29575', 'CVE-2021-29576', 'CVE-2021-29577', 'CVE-2021-29578', 'CVE-2021-29579', 'CVE-2021-29603', 'CVE-2021-29609', 'CVE-2021-29610', 'CVE-2021-29612', 'CVE-2021-29614', 'CVE-2021-37650', 'CVE-2021-37651', 'CVE-2021-41216', 'CVE-2021-41221', 'CVE-2022-21740', 'CVE-2022-23560', 'CVE-2022-23561', 'CVE-2022-23566', 'CVE-2022-23574', 'CVE-2022-23594', 'CVE-2022-29208', 'CVE-2022-29210', 'CVE-2022-35939', 'CVE-2022-41900', 'CVE-2023-25671']",89.0,92,-3.0,2022-02-02 17:03:51,2.7.1,True
32100,CVE-2022-23595,"Tensorflow is an Open Source Machine Learning Framework. When building an XLA compilation cache, if default settings are used, TensorFlow triggers a null pointer dereference. In the default scenario, all devices are allowed, so `flr->config_proto` is `nullptr`. The fix will be included in TensorFlow 2.8.0. We will also cherrypick this commit on TensorFlow 2.7.1, TensorFlow 2.6.3, and TensorFlow 2.5.3, as these are also affected and still in supported range.",2022-02-04 23:15:00,,2022-02-10 02:10:00,2024-03-19 15:08:04.635859,3.1,2.8,3.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,6.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[0.11.0,2.5.2],[2.6.0,2.6.2],[2.7.0,2.7.1)",CWE-476,weakness,NULL Pointer Dereference,Base,Simple,Stable,,,Medium,Automated Dynamic Analysis (DM-2); Automated Static Analysis (DM-14); Manual Dynamic Analysis (DM-12),"DoS: Crash, Exit, or Restart (A.); Execute Unauthorized Code or Commands-Read Memory-Modify Memory (C.I.A.)","['CVE-2018-7576', 'CVE-2019-9635', 'CVE-2020-15190', 'CVE-2020-15204', 'CVE-2020-15209', 'CVE-2021-29513', 'CVE-2021-29515', 'CVE-2021-29516', 'CVE-2021-29518', 'CVE-2021-29530', 'CVE-2021-29541', 'CVE-2021-29564', 'CVE-2021-29565', 'CVE-2021-29568', 'CVE-2021-29572', 'CVE-2021-29574', 'CVE-2021-29583', 'CVE-2021-29592', 'CVE-2021-29609', 'CVE-2021-29616', 'CVE-2021-37637', 'CVE-2021-37638', 'CVE-2021-37639', 'CVE-2021-37643', 'CVE-2021-37647', 'CVE-2021-37648', 'CVE-2021-37649', 'CVE-2021-37659', 'CVE-2021-37681', 'CVE-2021-37688', 'CVE-2021-37689', 'CVE-2021-41208', 'CVE-2021-41215', 'CVE-2021-41217', 'CVE-2022-21736', 'CVE-2022-21739', 'CVE-2022-23570', 'CVE-2022-23577', 'CVE-2022-23589', 'CVE-2022-23595', 'CVE-2022-29205', 'CVE-2022-29206', 'CVE-2022-35965', 'CVE-2022-36000', 'CVE-2022-36011', 'CVE-2022-36013', 'CVE-2022-36014', 'CVE-2022-41889', 'CVE-2022-41909', 'CVE-2023-25660', 'CVE-2023-25663', 'CVE-2023-25665', 'CVE-2023-25670', 'CVE-2023-25672', 'CVE-2023-25674', 'CVE-2023-25676']",1901.0,1903,-3.0,2022-02-02 16:59:50,2.5.2,False
36648,CVE-2022-29191,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.GetSessionTensor` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 21:15:00,,2022-06-02 12:57:00,2024-03-19 15:10:43.603380,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,196,-5.0,2022-05-16 18:58:28,2.7.2,True
36649,CVE-2022-29192,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.QuantizeAndDequantizeV4Grad` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 21:15:00,,2022-06-02 12:58:00,2024-03-19 15:10:43.625451,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,196,-5.0,2022-05-16 18:58:28,2.7.2,True
36650,CVE-2022-29193,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.TensorSummaryV2` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2022-05-26 23:11:00,2024-03-19 15:10:43.647120,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36651,CVE-2022-29194,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.DeleteSessionTensor` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 21:15:00,,2022-06-02 12:58:00,2024-03-19 15:10:43.671152,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,196,-5.0,2022-05-16 18:58:28,2.7.2,True
36652,CVE-2022-29195,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.StagePeek` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. The code assumes `index` is a scalar but there is no validation for this before accessing its value. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2022-05-26 23:36:00,2024-03-19 15:10:43.692183,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36653,CVE-2022-29196,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.Conv3DBackpropFilterV2` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. The code does not validate that the `filter_sizes` argument is a vector. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2023-07-21 16:41:00,2024-03-19 15:10:43.715619,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-1284,weakness,Improper Validation of Specified Quantity in Input,Base,Simple,Incomplete,,,,,Varies by Context (.),"['CVE-2021-37674', 'CVE-2021-37677', 'CVE-2022-23580', 'CVE-2022-29196', 'CVE-2022-29200', 'CVE-2022-29202', 'CVE-2022-41896']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36654,CVE-2022-29197,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.UnsortedSegmentJoin` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. The code assumes `num_segments` is a scalar but there is no validation for this before accessing its value. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2022-05-26 23:48:00,2024-03-19 15:10:43.738456,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36655,CVE-2022-29198,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.SparseTensorToCSRSparseMatrix` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. The code assumes `dense_shape` is a vector and `indices` is a matrix (as part of requirements for sparse tensors) but there is no validation for this. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2022-05-27 00:02:00,2024-03-19 15:10:43.761519,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36656,CVE-2022-29199,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.LoadAndRemapMatrix does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. The code assumes `initializing_values` is a vector but there is no validation for this before accessing its value. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2022-05-27 00:09:00,2024-03-19 15:10:43.784397,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-20,weakness,Improper Input Validation,Class,Simple,Stable,,,High,Automated Static Analysis (DM-3); Fuzzing (DM-5); Manual Static Analysis (DM-4),"DoS: Crash, Exit, or Restart-DoS: Resource Consumption (CPU)-DoS: Resource Consumption (Memory) (A.); Modify Memory-Execute Unauthorized Code or Commands (C.I.A.); Read Memory-Read Files or Directories (C.)","['CVE-2018-7577', 'CVE-2020-15190', 'CVE-2020-15192', 'CVE-2020-15194', 'CVE-2020-15197', 'CVE-2020-15199', 'CVE-2020-15206', 'CVE-2020-26270', 'CVE-2020-5215', 'CVE-2021-29611', 'CVE-2021-37663', 'CVE-2021-37665', 'CVE-2021-37673', 'CVE-2021-37692', 'CVE-2022-29191', 'CVE-2022-29192', 'CVE-2022-29193', 'CVE-2022-29194', 'CVE-2022-29195', 'CVE-2022-29197', 'CVE-2022-29198', 'CVE-2022-29199', 'CVE-2022-29204', 'CVE-2022-29206', 'CVE-2022-29207', 'CVE-2022-29211', 'CVE-2022-29212', 'CVE-2022-41888', 'CVE-2022-41908']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36657,CVE-2022-29200,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.LSTMBlockCell` does not fully validate the input arguments. This results in a `CHECK`-failure which can be used to trigger a denial of service attack. The code does not validate the ranks of any of the arguments to this API call. This results in `CHECK`-failures when the elements of the tensor are accessed. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 22:16:00,,2023-07-21 16:41:00,2024-03-19 15:10:43.808170,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,True,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",CWE-1284,weakness,Improper Validation of Specified Quantity in Input,Base,Simple,Incomplete,,,,,Varies by Context (.),"['CVE-2021-37674', 'CVE-2021-37677', 'CVE-2022-23580', 'CVE-2022-29196', 'CVE-2022-29200', 'CVE-2022-29202', 'CVE-2022-41896']",192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
36658,CVE-2022-29201,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.QuantizedConv2D` does not fully validate the input arguments. In this case, references get bound to `nullptr` for each argument that is empty. Versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4 contain a patch for this issue.",2022-05-20 23:15:00,,2023-07-21 16:41:00,2024-03-19 15:10:43.831558,3.1,1.8,3.6,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,5.5,MEDIUM,False,tensorflow,Direct,tensorflow,,,False,"[2.7.0,2.7.2),[0.11.0,2.6.4),[2.7.0,2.7.1),[2.8.0,2.8.1),[2.9.0,2.9.1)",,,,,,,,,,,,,192.0,197,-5.0,2022-05-16 18:58:28,2.7.2,True
